polyclinic,date,time,patientCount
Ang Mo Kio,2017-12-19,08:50,80
Ang Mo Kio,2017-12-19,08:55,80
Ang Mo Kio,2017-12-19,09:00,80
Ang Mo Kio,2017-12-19,09:05,96
Ang Mo Kio,2017-12-19,09:10,96
Ang Mo Kio,2017-12-19,09:15,96
Ang Mo Kio,2017-12-19,09:20,98
Ang Mo Kio,2017-12-19,09:25,98
Ang Mo Kio,2017-12-19,09:30,98
Ang Mo Kio,2017-12-19,09:35,122
Ang Mo Kio,2017-12-19,09:40,122
Ang Mo Kio,2017-12-19,09:45,122
Ang Mo Kio,2017-12-19,09:50,126
Ang Mo Kio,2017-12-19,09:55,126
Ang Mo Kio,2017-12-19,10:00,126
Ang Mo Kio,2017-12-19,10:05,128
Ang Mo Kio,2017-12-19,10:10,128
Ang Mo Kio,2017-12-19,10:15,128
Ang Mo Kio,2017-12-19,10:20,140
Ang Mo Kio,2017-12-19,10:25,140
Ang Mo Kio,2017-12-19,10:30,140
Ang Mo Kio,2017-12-19,10:35,148
Ang Mo Kio,2017-12-19,10:40,148
Ang Mo Kio,2017-12-19,10:45,148
Ang Mo Kio,2017-12-19,10:50,138
Ang Mo Kio,2017-12-19,10:55,138
Ang Mo Kio,2017-12-19,11:00,138
Ang Mo Kio,2017-12-19,11:05,155
Ang Mo Kio,2017-12-19,11:10,155
Ang Mo Kio,2017-12-19,11:15,155
Ang Mo Kio,2017-12-19,11:20,170
Ang Mo Kio,2017-12-19,11:25,170
Ang Mo Kio,2017-12-19,11:30,170
Ang Mo Kio,2017-12-19,11:35,183
Ang Mo Kio,2017-12-19,11:40,183
Ang Mo Kio,2017-12-19,11:45,183
Ang Mo Kio,2017-12-19,11:50,173
Ang Mo Kio,2017-12-19,11:55,173
Ang Mo Kio,2017-12-19,13:30,83
Ang Mo Kio,2017-12-19,13:35,70
Ang Mo Kio,2017-12-19,13:40,70
Ang Mo Kio,2017-12-19,13:45,70
Ang Mo Kio,2017-12-19,13:50,84
Ang Mo Kio,2017-12-19,13:55,84
Ang Mo Kio,2017-12-19,14:00,84
Ang Mo Kio,2017-12-19,14:05,98
Ang Mo Kio,2017-12-19,14:10,98
Ang Mo Kio,2017-12-19,14:15,98
Ang Mo Kio,2017-12-19,14:20,124
Ang Mo Kio,2017-12-19,14:25,124
Ang Mo Kio,2017-12-19,14:30,124
Ang Mo Kio,2017-12-19,14:35,129
Ang Mo Kio,2017-12-19,14:40,129
Ang Mo Kio,2017-12-19,14:45,129
Ang Mo Kio,2017-12-19,14:50,141
Ang Mo Kio,2017-12-19,14:55,141
Ang Mo Kio,2017-12-19,15:00,141
Ang Mo Kio,2017-12-19,15:05,158
Ang Mo Kio,2017-12-19,15:10,158
Ang Mo Kio,2017-12-19,15:15,158
Ang Mo Kio,2017-12-19,15:20,154
Ang Mo Kio,2017-12-19,15:25,154
Ang Mo Kio,2017-12-19,15:30,154
Ang Mo Kio,2017-12-19,15:35,158
Ang Mo Kio,2017-12-19,15:40,158
Ang Mo Kio,2017-12-19,15:45,158
Ang Mo Kio,2017-12-19,15:50,150
Ang Mo Kio,2017-12-19,15:55,150
Ang Mo Kio,2017-12-20,08:00,0
Ang Mo Kio,2017-12-20,08:05,34
Ang Mo Kio,2017-12-20,08:10,34
Ang Mo Kio,2017-12-20,08:15,34
Ang Mo Kio,2017-12-20,08:20,57
Ang Mo Kio,2017-12-20,08:25,57
Ang Mo Kio,2017-12-20,08:30,57
Ang Mo Kio,2017-12-20,08:35,60
Ang Mo Kio,2017-12-20,08:40,60
Ang Mo Kio,2017-12-20,08:45,60
Ang Mo Kio,2017-12-20,08:50,73
Ang Mo Kio,2017-12-20,08:55,73
Ang Mo Kio,2017-12-20,09:00,73
Ang Mo Kio,2017-12-20,09:05,72
Ang Mo Kio,2017-12-20,09:10,72
Ang Mo Kio,2017-12-20,09:15,72
Ang Mo Kio,2017-12-20,09:20,89
Ang Mo Kio,2017-12-20,09:25,89
Ang Mo Kio,2017-12-20,09:30,89
Ang Mo Kio,2017-12-20,09:35,97
Ang Mo Kio,2017-12-20,09:40,97
Ang Mo Kio,2017-12-20,09:45,97
Ang Mo Kio,2017-12-20,09:50,92
Ang Mo Kio,2017-12-20,09:55,92
Ang Mo Kio,2017-12-20,10:00,92
Ang Mo Kio,2017-12-20,10:05,99
Ang Mo Kio,2017-12-20,10:10,99
Ang Mo Kio,2017-12-20,10:15,99
Ang Mo Kio,2017-12-20,10:20,102
Ang Mo Kio,2017-12-20,10:25,102
Ang Mo Kio,2017-12-20,10:30,102
Ang Mo Kio,2017-12-20,10:35,106
Ang Mo Kio,2017-12-20,10:40,106
Ang Mo Kio,2017-12-20,10:45,106
Ang Mo Kio,2017-12-20,10:50,121
Ang Mo Kio,2017-12-20,10:55,121
Ang Mo Kio,2017-12-20,11:00,121
Ang Mo Kio,2017-12-20,11:05,118
Ang Mo Kio,2017-12-20,11:10,118
Ang Mo Kio,2017-12-20,11:15,118
Ang Mo Kio,2017-12-20,11:20,116
Ang Mo Kio,2017-12-20,11:25,116
Ang Mo Kio,2017-12-20,11:30,116
Ang Mo Kio,2017-12-20,11:35,106
Ang Mo Kio,2017-12-20,11:40,106
Ang Mo Kio,2017-12-20,11:45,106
Ang Mo Kio,2017-12-20,11:50,115
Ang Mo Kio,2017-12-20,11:55,115
Ang Mo Kio,2017-12-20,13:30,39
Ang Mo Kio,2017-12-20,13:35,46
Ang Mo Kio,2017-12-20,13:40,46
Ang Mo Kio,2017-12-20,13:45,46
Ang Mo Kio,2017-12-20,13:50,60
Ang Mo Kio,2017-12-20,13:55,60
Ang Mo Kio,2017-12-20,14:00,60
Ang Mo Kio,2017-12-20,14:05,83
Ang Mo Kio,2017-12-20,14:10,83
Ang Mo Kio,2017-12-20,14:15,83
Ang Mo Kio,2017-12-20,14:20,96
Ang Mo Kio,2017-12-20,14:25,96
Ang Mo Kio,2017-12-20,14:30,96
Ang Mo Kio,2017-12-20,14:35,96
Ang Mo Kio,2017-12-20,14:40,96
Ang Mo Kio,2017-12-20,14:45,96
